country_code,date_local,avg_value
EE,2021-03-06,1.6075
EE,2021-03-07,0.3966666666666665
EE,2021-03-08,0.30899999999999983
EE,2021-03-09,2.5275000000000003
EE,2021-03-10,0.8
EE,2021-03-11,0.9199999999999999
EE,2021-03-12,5.922499999999999
EE,2021-03-13,3.365
EE,2021-03-14,4.845
EE,2021-03-15,3.0065
EE,2021-03-16,3.01575
EE,2021-03-17,3.7077500000000003
EE,2021-03-18,2.7750000000000004
EE,2021-03-19,0.725
EE,2021-03-20,2.745
EE,2021-03-21,1.6644999999999999
EE,2021-03-22,0.45775
EE,2021-03-23,2.6197500000000002
EE,2021-03-24,3.735
EE,2021-03-25,8.0775
EE,2021-03-26,7.327500000000001
EE,2021-03-27,8.7625
EE,2021-03-28,7.645
EE,2021-03-29,5.365
EE,2021-03-30,3.9775
EE,2021-03-31,2.8194999999999997
EE,2021-04-01,1.99
EE,2021-04-02,2.505
EE,2021-04-03,2.4825
EE,2021-04-04,2.01875
EE,2021-04-05,3.915
EE,2021-04-06,2.03675
EE,2021-04-07,5.23
EE,2021-04-08,3.535
EE,2021-04-09,1.73225
EE,2021-04-10,6.887499999999999
EE,2021-04-11,3.7115
EE,2021-04-12,9.95
EE,2021-04-13,5.9825
EE,2021-04-14,2.17
EE,2021-04-15,2.7725
EE,2021-04-16,3.035
EE,2021-04-17,4.7175
EE,2021-04-18,5.47
EE,2021-04-19,6.0825
EE,2021-04-20,6.6525
EE,2021-04-21,9.44
EE,2021-04-22,6.995
EE,2021-04-23,2.885
EE,2021-04-24,1.1440000000000001
EE,2021-04-27,3.2875
EE,2021-04-28,2.7425
EE,2021-04-29,3.1995
EE,2021-04-30,3.4250000000000003
EE,2021-05-01,4.4325
EE,2021-05-03,3.395
EE,2021-05-04,2.6125
EE,2021-05-05,2.83
EE,2021-05-06,3.92
EE,2021-05-07,2.72175
EE,2021-05-08,2.7525
EE,2021-05-09,3.6125
EE,2021-05-10,6.1875
EE,2021-05-11,10.765
EE,2021-05-12,11.84
EE,2021-05-13,12.0925
EE,2021-05-14,8.0675
EE,2021-05-15,9.620000000000001
EE,2021-05-16,7.5225
EE,2021-05-17,8.432500000000001
EE,2021-05-18,8.715
EE,2021-05-19,7.625
EE,2021-05-20,4.3225
EE,2021-05-21,5.0575
EE,2021-05-22,4.8999999999999995
EE,2021-05-25,5.345
EE,2021-05-26,7.623333333333332
EE,2021-05-28,5.695
EE,2021-05-29,4.5725
EE,2021-05-30,4.0425
EE,2021-05-31,5.335
EE,2021-06-01,5.779999999999999
EE,2021-06-02,8.4175
EE,2021-06-03,8.055
EE,2021-06-04,5.266666666666667
EE,2021-06-05,7.06
EE,2021-06-06,6.126666666666666
EE,2021-06-07,10.34
EE,2021-06-08,10.64
EE,2021-06-10,9.8425
EE,2021-06-11,9.8725
EE,2021-06-12,9.975
EE,2021-06-13,6.0925
EE,2021-06-14,5.6575
EE,2021-06-15,6.49
EE,2021-06-16,5.057499999999999
EE,2021-06-17,8.6925
EE,2021-06-18,8.6025
EE,2021-06-19,13.775
EE,2021-06-20,15.25
EE,2021-06-21,15.925
EE,2021-06-22,19.35
EE,2021-06-23,19.325
EE,2021-06-24,14.299999999999999
EE,2021-06-25,12.3075
EE,2021-06-26,11.6775
EE,2021-06-27,8.76
EE,2021-06-28,8.92
EE,2021-06-29,8.459999999999999
EE,2021-06-30,7.5825000000000005
EE,2021-07-01,9.875
EE,2021-07-02,8.92
EE,2021-07-03,8.66
EE,2021-07-04,9.3625
EE,2021-07-05,10.54
EE,2021-07-06,11.4275
EE,2021-07-07,12.2225
EE,2021-07-08,13.105
EE,2021-07-09,12.8625
EE,2021-07-12,9.432500000000001
EE,2021-07-13,11.0
EE,2021-07-14,12.885
EE,2021-07-15,13.735
EE,2021-07-16,14.696666666666667
EE,2021-07-17,10.6925
EE,2021-07-18,10.2825
EE,2021-07-19,7.6975
EE,2021-07-20,5.4775
EE,2021-07-21,5.6125
EE,2021-07-22,5.725
EE,2021-07-23,6.550000000000001
EE,2021-07-24,5.4275
EE,2021-07-25,5.205
EE,2021-08-03,4.41225
EE,2021-08-04,3.65775
EE,2021-08-06,6.545
EE,2021-08-07,7.3825
EE,2021-08-08,7.0725
EE,2021-08-09,8.0625
EE,2021-08-10,6.67
EE,2021-08-11,7.2875
EE,2021-08-12,7.1850000000000005
EE,2021-08-13,7.8725
EE,2021-08-14,7.855
EE,2021-08-15,7.1325
EE,2021-08-16,6.2725
EE,2021-08-17,8.0875
EE,2021-08-18,6.050000000000001
EE,2021-08-19,5.1895
EE,2021-08-20,5.5649999999999995
EE,2021-08-21,5.7775
EE,2021-08-22,4.43975
EE,2021-08-23,3.93975
EE,2021-08-24,4.10675
EE,2021-08-25,3.788
EE,2021-08-26,5.1875
EE,2021-08-27,7.282500000000001
EE,2021-08-28,10.942499999999999
EE,2021-08-29,7.6725
EE,2021-08-30,7.03
EE,2021-08-31,6.9875
EE,2021-09-01,6.0075
EE,2021-09-02,3.5482500000000003
EE,2021-09-03,3.44625
EE,2021-09-04,2.853
EE,2021-09-05,3.44525
EE,2021-09-06,4.02825
EE,2021-09-07,5.225
EE,2021-09-08,6.975
EE,2021-09-09,7.782500000000001
EE,2021-09-10,7.0024999999999995
EE,2021-09-11,7.975
EE,2021-09-12,16.266666666666666
EE,2021-09-13,5.9275
EE,2021-09-14,3.49875
EE,2021-09-15,2.8027499999999996
EE,2021-09-16,3.908175
EE,2021-09-17,4.3575
EE,2021-09-18,4.07
EE,2021-09-19,4.74
EE,2021-09-20,2.37
EE,2021-09-21,4.1625
EE,2021-09-22,5.885
EE,2021-09-23,5.7725
EE,2024-03-18,0.47000000000000003
EE,2024-03-23,4.531666666666667
EE,2024-03-24,5.821666666666666
EE,2024-03-25,3.2983333333333333
EE,2024-03-26,4.948333333333333
EE,2024-03-27,4.931666666666667
EE,2024-03-28,5.703333333333333
EE,2024-03-29,6.390000000000001
EE,2024-03-30,4.779999999999999
EE,2024-03-31,7.078
EE,2024-04-01,14.783333333333331
EE,2024-04-02,10.843333333333334
EE,2024-04-03,2.11
EE,2024-04-04,1.2098333333333333
EE,2024-04-05,2.4299999999999997
EE,2024-04-06,2.19
EE,2024-04-07,3.973333333333333
EE,2024-04-08,5.34
EE,2024-04-09,4.54
EE,2024-04-10,5.44
EE,2024-04-11,3.11
EE,2024-04-12,2.141166666666667
EE,2024-04-13,3.6533333333333338
EE,2024-04-14,2.3016666666666667
EE,2024-04-15,1.3383333333333336
EE,2024-04-16,2.5498333333333334
EE,2024-04-17,3.7266666666666666
EE,2024-04-18,2.5383333333333336
EE,2024-04-19,3.6166666666666667
EE,2024-04-20,3.2933333333333334
EE,2024-04-21,4.198333333333333
EE,2024-04-22,3.168333333333333
EE,2024-04-23,1.9800000000000002
EE,2024-04-24,3.725
EE,2024-04-25,2.4833333333333334
EE,2024-04-26,2.595
EE,2024-04-27,5.363333333333333
EE,2024-04-28,5.388333333333333
EE,2024-04-29,7.085
EE,2024-04-30,6.193333333333334
EE,2024-05-01,4.33
EE,2024-05-02,2.6518333333333337
EE,2024-05-03,2.9450000000000003
EE,2024-05-04,4.098333333333334
EE,2024-05-05,2.535
EE,2024-05-06,2.1973333333333334
EE,2024-05-07,2.7183333333333333
EE,2024-05-08,2.981666666666667
EE,2024-05-09,5.523333333333333
EE,2024-05-10,3.34
EE,2024-05-11,1.3719999999999999
EE,2024-05-12,3.223333333333333
EE,2024-05-13,3.4066666666666667
EE,2024-05-14,3.7100000000000004
EE,2024-05-15,4.368333333333333
EE,2024-05-16,4.28
EE,2024-05-17,4.22
EE,2024-05-18,3.3481666666666663
EE,2024-05-19,6.2299999999999995
EE,2024-05-20,4.821666666666666
EE,2024-05-21,2.541333333333333
EE,2024-05-22,2.4431666666666665
EE,2024-05-23,4.246666666666667
EE,2024-05-24,5.441666666666666
EE,2024-05-25,7.341666666666666
EE,2024-05-26,10.983333333333334
EE,2024-05-27,11.455
EE,2024-05-28,10.053333333333333
EE,2024-05-29,8.07
EE,2024-05-30,8.478333333333333
EE,2024-06-20,0.9445000000000001
EE,2024-06-21,2.4133333333333336
EE,2024-06-22,0.838
EE,2024-06-23,2.8716666666666666
EE,2024-06-24,10.325
EE,2024-06-25,2.6766666666666663
EE,2024-06-26,2.3108333333333335
EE,2024-06-27,3.1616666666666666
EE,2024-06-28,5.966666666666666
EE,2024-06-29,4.873333333333333
EE,2024-06-30,2.0348333333333333
EE,2024-07-01,4.864999999999999
EE,2024-07-02,2.3431666666666664
EE,2024-07-03,1.3496666666666666
EE,2024-07-04,1.2681666666666667
EE,2024-07-05,2.1266666666666665
EE,2024-07-06,1.0726666666666667
EE,2024-07-07,3.4450000000000003
EE,2024-07-08,2.25
EE,2024-07-09,1.7149999999999999
EE,2024-07-10,1.6735
EE,2024-07-11,4.145499999999999
EE,2024-07-12,3.578333333333333
EE,2024-07-13,3.763333333333333
EE,2024-07-14,2.965
EE,2024-07-15,1.203
EE,2024-07-16,2.6666666666666665
EE,2024-07-17,3.748
EE,2024-07-18,3.9066666666666667
EE,2024-07-19,1.7095
EE,2024-07-20,0.9087
EE,2024-07-21,3.155
EE,2024-07-22,4.993333333333333
EE,2024-07-23,5.175
EE,2024-07-24,3.4450000000000003
EE,2024-07-25,3.8699999999999997
EE,2024-07-26,5.526666666666667
EE,2024-07-27,4.118333333333333
EE,2024-07-28,3.0933333333333333
EE,2024-07-29,3.6216666666666666
EE,2024-07-30,2.9183333333333334
EE,2024-07-31,1.2611666666666668
EE,2024-08-01,0.9033333333333333
EE,2024-08-02,1.4616666666666667
EE,2024-08-03,1.5078333333333334
EE,2024-08-04,1.8466666666666667
EE,2024-08-05,2.302
EE,2024-08-06,4.2683333333333335
EE,2024-08-07,4.32
EE,2024-08-08,4.241666666666666
EE,2024-08-09,4.756666666666667
EE,2024-08-10,2.6533333333333333
EE,2024-08-11,1.1446666666666667
EE,2024-08-12,0.27133333333333337
EE,2024-08-13,0.9401666666666667
EE,2024-08-14,1.476
EE,2024-08-15,0.872
EE,2024-08-19,2.566666666666667
EE,2024-08-23,1.8691666666666666
EE,2024-08-24,2.8233333333333337
EE,2024-08-25,3.395
EE,2024-08-26,4.626666666666666
EE,2024-08-27,5.971666666666667
EE,2024-08-28,8.156666666666666
EE,2024-08-29,4.36
EE,2024-08-30,9.905
EE,2024-08-31,7.1433333333333335
EE,2024-09-01,2.405
EE,2024-09-02,3.063333333333333
EE,2024-09-03,6.531666666666666
EE,2024-09-04,8.66
EE,2024-09-05,7.688333333333333
EE,2024-09-06,4.41
EE,2024-09-07,8.38
EE,2024-09-08,12.218333333333334
EE,2024-09-09,10.745
EE,2024-09-10,8.923333333333334
EE,2024-09-11,8.951666666666666
EE,2024-09-12,9.031666666666666
EE,2024-09-13,8.376666666666667
EE,2024-09-14,8.88
EE,2024-09-15,7.595
EE,2024-09-16,7.22
EE,2024-09-17,10.659999999999998
EE,2024-09-18,7.29
EE,2024-09-19,3.3350000000000004
EE,2024-09-20,1.9709999999999999
EE,2024-09-21,1.7963333333333333
EE,2024-09-22,0.47983333333333333
EE,2024-09-23,1.372
EE,2024-09-24,5.491666666666667
EE,2024-09-25,8.658333333333333
EE,2024-09-26,3.356666666666667
EE,2024-09-27,2.598333333333333
EE,2024-09-28,0.7025
EE,2024-09-29,0.8046599999999999
EE,2024-09-30,1.543
EE,2024-10-01,1.797666666666667
EE,2024-10-02,3.301666666666667
EE,2024-10-03,3.0966666666666662
EE,2024-10-04,1.7138333333333333
EE,2024-10-05,3.7133333333333334
EE,2024-10-06,4.8999999999999995
EE,2024-10-07,5.433333333333334
EE,2024-10-08,3.3023333333333333
EE,2024-10-09,1.6221666666666668
EE,2024-10-10,2.5100000000000002
EE,2024-10-11,5.096666666666667
EE,2024-10-12,2.190166666666667
EE,2024-10-13,2.766666666666667
EE,2024-10-14,2.4923333333333333
EE,2024-10-15,1.6138333333333332
EE,2024-10-16,1.516
EE,2024-10-17,2.4352
EE,2024-10-18,4.488
EE,2024-10-19,5.287999999999999
